model,accuracy,auc,precision_up,recall_up,f1_up,n_common
LSTM,0.601123595505618,0.5785923380425099,0.5641025641025641,0.5432098765432098,0.5534591194968553,178
CNN,0.5280898876404494,0.5661193839887998,0.4857142857142857,0.6296296296296297,0.5483870967741935,178
MLP,0.5449438202247191,0.5400280005091002,0.5,0.6296296296296297,0.5573770491803278,178
LogReg,0.5,0.5284459717449408,0.46296296296296297,0.6172839506172839,0.5291005291005291,178
