date,ticker_id,close,n_tweets,sent_mean,sent_std,close_fwd,y,ret,ret_lag1,sent_mean_lag1,sent_std_lag1,n_tweets_lag1
2023-01-04,0,249.9293303917757,4,-0.11582500000000001,0.6191690473260648,251.7793162432857,1,0.005583811692652096,-0.006907767847607604,0.39224000000000003,0.5236826644066042,5.0
2023-01-05,0,248.505651179881,8,-0.3277375,0.5879331714635115,252.4564497849871,1,-0.0056963270763900065,0.005583811692652096,-0.11582500000000001,0.6191690473260648,4.0
2023-01-06,0,248.9057898378156,3,-0.17166666666666663,0.5525768393023122,253.564952445816,1,0.0016101793099463357,-0.0056963270763900065,-0.3277375,0.5879331714635115,8.0
2023-01-09,0,251.7793162432857,8,-0.2926,0.39975875224940355,253.7551989263583,1,0.011544634648082974,0.0016101793099463357,-0.17166666666666663,0.5525768393023122,3.0
2023-01-10,0,252.4564497849871,4,0.275325,0.5470790885847006,253.1494200258476,1,0.0026893930438951497,0.011544634648082974,-0.2926,0.39975875224940355,8.0
2023-01-11,0,253.564952445816,5,-0.040359999999999986,0.5681152550319345,251.0328235047157,0,0.00439086686742618,0.0026893930438951497,0.275325,0.5470790885847006,4.0
2023-01-12,0,253.7551989263583,4,0.108625,0.44712213376212995,252.7712838824989,0,0.0007502869726563333,0.00439086686742618,-0.040359999999999986,0.5681152550319345,5.0
2023-01-13,0,253.1494200258476,3,-0.22903333333333334,0.6930597112322526,252.4491488664708,0,-0.002387257100834761,0.0007502869726563333,0.108625,0.44712213376212995,4.0
2023-01-16,0,251.0328235047157,3,0.5622333333333334,0.008371578903249558,261.1722262699735,1,-0.008361056173527004,-0.002387257100834761,-0.22903333333333334,0.6930597112322526,3.0
2023-01-17,0,252.7712838824989,6,0.018949999999999984,0.5371391058189675,267.6778565848674,1,0.006925231344300675,-0.008361056173527004,0.5622333333333334,0.008371578903249558,3.0
2023-01-18,0,252.4491488664708,5,-0.39968,0.3619504068239183,268.5830572762486,1,-0.0012744130230308848,0.006925231344300675,0.018949999999999984,0.5371391058189675,6.0
2023-01-19,0,261.1722262699735,2,0.03845,0.09086322138247135,265.7862062986944,1,0.03455380001346997,-0.0012744130230308848,-0.39968,0.3619504068239183,5.0
2023-01-20,0,267.6778565848674,7,-0.06975714285714284,0.4820706720566424,260.6376501714416,0,0.024909349695434457,0.03455380001346997,0.03845,0.09086322138247135,2.0
2023-01-23,0,268.5830572762486,3,-0.1782,0.4693935129504881,265.9355808986223,0,0.003381679392274295,0.024909349695434457,-0.06975714285714284,0.4820706720566424,7.0
2023-01-24,0,265.7862062986944,3,-0.06566666666666665,0.6193275735290117,266.9465206027327,1,-0.010413355949990266,0.003381679392274295,-0.1782,0.4693935129504881,3.0
2023-01-25,0,260.6376501714416,5,0.10836000000000001,0.6860372132763645,268.7309343453502,1,-0.01937104336207285,-0.010413355949990266,-0.06566666666666665,0.6193275735290117,3.0
2023-01-26,0,265.9355808986223,7,-0.27781428571428574,0.6190713083013173,261.1862078789346,0,0.02032680513999363,-0.01937104336207285,0.10836000000000001,0.6860372132763645,5.0
2023-01-27,0,266.9465206027327,4,0.32665,0.33562421942801846,265.7137906009481,0,0.003801445826445482,0.02032680513999363,-0.27781428571428574,0.6190713083013173,7.0
2023-01-30,0,268.7309343453502,5,0.14846,0.558082295006749,267.4100071394124,0,0.00668453643294753,0.003801445826445482,0.32665,0.33562421942801846,4.0
2023-01-31,0,261.1862078789346,7,-0.020028571428571427,0.514596400798029,262.6351933719545,1,-0.028075392528943977,0.00668453643294753,0.14846,0.558082295006749,5.0
2023-02-01,0,265.7137906009481,4,-0.203325,0.7267969655733757,260.5186567804395,0,0.017334692971659793,-0.028075392528943977,-0.020028571428571427,0.514596400798029,7.0
2023-02-02,0,267.4100071394124,7,-0.2721857142857143,0.5061735125052523,261.9374996854066,0,0.00638362252342306,0.017334692971659793,-0.203325,0.7267969655733757,4.0
